Transaction_ID,Customer_ID,Screening-ID,Transaction_Date,Transaction_Time ,Ticket_Quantity,Concession_Purchase ,Concession_Amount ,Payment_Method ,Total_Amount,Points_Earned,Period,Ticket price,Helper _Function period ,,Helper_Customer_ID,Helper _amounts ,Helper_C_Purchase,Helper_Ticket_Q,helper _concession ,Helper_Points_Earned
1,656,264,30/01/2023,5:55 pm,7,TRUE,18,Credit,105.5,11,Implementation,12.5,Implementation,,656,85.25,TRUE,7,18,11
2,696,802,12/06/2023,2:46 pm,5,TRUE,0,Credit,62.5,6,Implementation,12.5,Implementation,,696,68.75,TRUE,5,0,6
3,946,354,15/04/2023,10:41 am,5,TRUE,30,Cash,92.5,9,Implementation,12.5,Implementation,,946,82.5,TRUE,5,30,9
4,153,533,06/12/2022,4:32 pm,1,TRUE,25,Debit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,153,37.5,TRUE,1,25,4
5,538,843,04/11/2023,10:42 am,16,TRUE,70,Credit,270,27,Post-Implementation,12.5,Post-Implementation,,538,292.5,TRUE,16,70,27
6,461,177,20/11/2023,7:37 pm,6,TRUE,14,Mobile,89,9,Post-Implementation,12.5,Post-Implementation,,461,78,TRUE,6,14,9
7,317,507,20/02/2023,10:40 am,7,TRUE,42,Cash,129.5,13,Implementation,12.5,Implementation,,317,121,TRUE,7,42,13
8,591,654,22/11/2022,3:08 pm,3,FALSE,0,Debit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,591,37.5,FALSE,3,0,4
9,690,933,13/07/2023,10:02 pm,9,TRUE,49,Cash,161.5,16,Post-Implementation,12.5,Post-Implementation,,690,143,TRUE,9,49,16
10,896,600,06/11/2022,2:44 pm,4,TRUE,0,Debit,50,5,Pre-Implementation,12.5,Pre-Implementation,,896,50,TRUE,4,0,5
11,669,565,04/01/2024,11:38 am,9,TRUE,28,Debit,140.5,14,Post-Implementation,12.5,Post-Implementation,,669,139.75,TRUE,9,28,14
12,377,622,08/10/2023,6:08 pm,9,TRUE,49,Mobile,161.5,16,Post-Implementation,12.5,Post-Implementation,,377,159.25,TRUE,9,49,16
13,475,800,05/04/2022,12:08 pm,4,TRUE,35,Mobile,85,9,Pre-Implementation,12.5,Pre-Implementation,,475,85,TRUE,4,35,9
14,225,90,16/07/2023,9:31 pm,8,TRUE,7,Mobile,107,11,Post-Implementation,12.5,Post-Implementation,,225,104,TRUE,8,7,11
15,31,858,06/02/2024,3:03 pm,14,FALSE,0,Mobile,175,18,Post-Implementation,12.5,Post-Implementation,,31,276.25,FALSE,14,0,18
16,742,690,18/09/2023,12:08 pm,8,TRUE,42,Cash,142,14,Post-Implementation,12.5,Post-Implementation,,742,136.5,TRUE,8,42,14
17,545,21,30/05/2022,10:34 pm,3,FALSE,0,Cash,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,545,37.5,FALSE,3,0,4
18,263,616,09/06/2023,3:31 pm,9,TRUE,18,Cash,130.5,13,Implementation,12.5,Implementation,,263,126.5,TRUE,9,18,13
19,738,109,01/11/2022,6:56 pm,4,FALSE,0,Debit,50,5,Pre-Implementation,12.5,Pre-Implementation,,738,85,FALSE,4,0,5
20,268,809,13/08/2022,4:00 pm,3,TRUE,30,Cash,67.5,7,Pre-Implementation,12.5,Pre-Implementation,,268,67.5,TRUE,3,30,7
21,268,479,04/10/2023,4:10 pm,5,TRUE,63,Credit,125.5,13,Post-Implementation,12.5,Post-Implementation,,268,123.5,TRUE,5,63,13
22,449,896,17/06/2022,10:57 am,1,FALSE,0,Cash,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,449,12.5,FALSE,1,0,1
23,483,412,05/03/2022,4:32 pm,1,FALSE,0,Mobile,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,483,12.5,FALSE,1,0,1
24,779,617,21/04/2023,10:08 pm,2,FALSE,0,Debit,25,3,Implementation,12.5,Implementation,,779,66,FALSE,2,0,3
25,496,649,03/09/2022,9:47 pm,2,TRUE,15,Credit,40,4,Pre-Implementation,12.5,Pre-Implementation,,496,40,TRUE,2,15,4
26,781,722,29/12/2023,4:34 pm,14,TRUE,21,Debit,196,20,Post-Implementation,12.5,Post-Implementation,,781,230.75,TRUE,14,21,20
27,766,669,03/02/2023,3:57 pm,9,TRUE,42,Cash,154.5,15,Implementation,12.5,Implementation,,766,148.5,TRUE,9,42,15
28,878,358,10/04/2022,8:38 pm,1,FALSE,0,Cash,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,878,12.5,FALSE,1,0,1
29,175,67,14/10/2022,10:39 pm,4,TRUE,45,Mobile,95,10,Pre-Implementation,12.5,Pre-Implementation,,175,95,TRUE,4,45,10
30,856,556,31/08/2023,9:13 pm,7,TRUE,7,Credit,94.5,9,Post-Implementation,12.5,Post-Implementation,,856,87.75,TRUE,7,7,9
31,500,982,19/05/2023,7:29 pm,8,FALSE,0,Debit,100,10,Implementation,12.5,Implementation,,500,129.25,FALSE,8,0,10
32,836,714,29/01/2023,12:16 pm,4,FALSE,0,Debit,50,5,Implementation,12.5,Implementation,,836,57.75,FALSE,4,0,5
33,548,502,06/02/2022,6:47 pm,3,FALSE,0,Credit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,548,77.5,FALSE,3,0,4
34,697,488,17/11/2022,12:10 pm,4,FALSE,0,Cash,50,5,Pre-Implementation,12.5,Pre-Implementation,,697,50,FALSE,4,0,5
35,78,922,11/03/2022,1:08 pm,1,TRUE,45,Debit,57.5,6,Pre-Implementation,12.5,Pre-Implementation,,78,57.5,TRUE,1,45,6
36,179,507,23/10/2022,3:34 pm,2,FALSE,0,Debit,25,3,Pre-Implementation,12.5,Pre-Implementation,,179,50,FALSE,2,0,3
37,387,172,03/12/2023,10:05 am,10,FALSE,0,Mobile,125,13,Post-Implementation,12.5,Post-Implementation,,387,143,FALSE,10,0,13
